RD,TS_received,TS_sent,AK,RoundTrip,
1505905,1505930,2025-10-13_15-03-21-035212,1505931,25,
1511026,1511050,2025-10-13_15-03-26-149862,1511052,24,
1516135,1516147,2025-10-13_15-03-31-253930,1516148,12,
1521255,1521269,2025-10-13_15-03-36-375765,1521271,14,
1526363,1526375,2025-10-13_15-03-41-482114,1526376,12,
1531475,1531487,2025-10-13_15-03-46-594989,1531488,12,
1536596,1536614,2025-10-13_15-03-51-716003,1536615,18,
1541706,1541717,2025-10-13_15-03-56-823355,1541718,11,
1546820,1546867,2025-10-13_15-04-01-940217,1546871,47,
1551932,1551959,2025-10-13_15-04-07-055845,1551960,27,
1557048,1562166,2025-10-13_15-04-12-184548,1562167,5118,
1562170,1562191,2025-10-13_15-04-17-291711,1562193,21,
1567286,1567296,2025-10-13_15-04-22-402775,1567298,10,
1572404,1572415,2025-10-13_15-04-27-520577,1572416,11,
1577528,1582635,2025-10-13_15-04-32-795505,1582636,5107,
1582637,1582662,2025-10-13_15-04-37-758694,1582663,25,
1587762,1587788,2025-10-13_15-04-42-888290,1587789,26,
1592881,1592921,2025-10-13_15-04-48-026404,1592922,40,
1598002,1598014,2025-10-13_15-04-53-119342,1598015,12,
1603109,1603127,2025-10-13_15-04-58-231409,1603128,18,
1608217,1608231,2025-10-13_15-05-03-338407,1608232,14,
1613342,1613359,2025-10-13_15-05-08-463265,1613361,17,
1618453,1618492,2025-10-13_15-05-13-599895,1618494,39,
1623560,1623579,2025-10-13_15-05-18-686033,1623580,19,
1628669,1628685,2025-10-13_15-05-23-788224,1628686,16,